Name,Status,Population Census 1996-10-09,Population Census 2001-10-09,Population Census 2011-10-09,Population Estimate 2016-03-06,Unnamed: 6
Ratlou (Setla-Kgobi),Local Municipality,98469,106165,107339,106108,→
Rustenburg,Local Municipality,311787,387096,549575,626522,→
Tlokwe City Council (Potchefstroom),Local Municipality,124813,128353,162762,179604,→
Tswaing,Local Municipality,91259,114155,124218,129052,→
Ventersdorp,Local Municipality,31915,43078,56702,63923,→
Western Cape,Province,3956875,4524335,5822734,6279730,→
Beaufort West,Local Municipality,40693,43290,49586,51080,→
Bergrivier,Local Municipality,37485,46538,61897,67474,→
Bitou (Plettenberg Bay),Local Municipality,18427,29182,49162,59157,→
Breede Valley,Local Municipality,129984,146387,166825,176578,→
Cape Agulhas,Local Municipality,23015,27155,33038,36000,→
Cederberg,Local Municipality,31704,39559,49768,52949,→
City of Cape Town,Metropolitan Municipality,2562280,2892243,3740026,4004793,→
Drakenstein,Local Municipality,186334,194417,251262,280195,→
George,Local Municipality,120148,149436,193672,208237,→
Hessequa (Langeberg),Local Municipality,38553,44114,52642,54237,→
Kannaland,Local Municipality,21190,23971,24767,24168,→
Knysna,Local Municipality,43599,52035,68659,73835,→
Laingsburg,Local Municipality,5913,6680,8289,8895,→
Langeberg (Breede River/Winelands),Local Municipality,67083,81684,97724,105483,→
Matzikama,Local Municipality,43906,54199,67147,71045,→
Mossel Bay,Local Municipality,59789,71494,89430,94135,→
Oudtshoorn,Local Municipality,79181,84692,95933,97509,→
Overstrand,Local Municipality,36686,55012,80432,93466,→
Prince Albert,Local Municipality,9508,10512,13136,14272,→
Saldanha Bay,Local Municipality,56557,70261,99193,111173,→
Stellenbosch,Local Municipality,103996,118709,155733,173419,→
Swartland,Local Municipality,65301,72115,113762,133762,→
Swellendam,Local Municipality,24579,28285,35916,40211,→
Theewaterskloof,Local Municipality,74582,93276,108790,117109,→
Witzenberg,Local Municipality,76386,89087,115946,130548,→
South Africa,Republic,40583573,44819778,51770560,55653654,
